,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
0,2016-17,Aaron Cresswell,DEF,10,0,4,Chelsea,14023,0,55,FALSE,1,0,0,0,0,0,10,0,0
11,2016-17,Andrew Robertson,DEF,4,1.7,8,Leicester,32036,2,45,TRUE,1,1.8,14.8,0,0,0,4,1,90
15,2016-17,Angelo Ogbonna,DEF,10,0,4,Chelsea,45667,0,50,FALSE,1,0,0,0,0,0,10,0,0
17,2016-17,Arthur Masuaku,DEF,10,1.8,4,Chelsea,7272,1,50,FALSE,1,1.4,16.4,0,0,0,10,2,90
19,2016-17,Ashley Young,DEF,9,0,2,Bournemouth,3019,0,55,FALSE,1,0,0,0,0,0,9,0,0
21,2016-17,Benjamin Chilwell,DEF,4,0,7,Hull,8192,0,45,FALSE,1,0,0,0,0,0,4,0,0
22,2016-17,Ben Davies,DEF,3,0,6,Everton,9018,0,50,FALSE,1,0,0,0,0,0,3,0,0
24,2016-17,Ben Gibson,DEF,6,1.7,14,Stoke,17473,2,45,TRUE,1,0.1,10.4,6,0,0,6,1,90
25,2016-17,Ben Mee,DEF,1,2.3,16,Swansea,21801,2,45,TRUE,1,0.6,18.8,4,0,0,1,1,90
26,2016-17,Branislav Ivanovic,DEF,10,7.2,20,West Ham,208363,2,60,TRUE,1,12.9,18.4,41,0,0,10,1,90
28,2016-17,Calum Chambers,DEF,8,7.6,9,Liverpool,63607,6,45,TRUE,1,0.5,48.8,27,0,0,8,4,90
29,2016-17,Cameron Carter-Vickers,DEF,3,0,6,Everton,1619,0,45,FALSE,1,0,0,0,0,0,3,0,0
34,2016-17,Christian Fuchs,DEF,4,5.6,7,Hull,418306,0,55,FALSE,1,13.8,25.4,17,0,0,4,2,90
35,2016-17,Christian Kabasele,DEF,7,0,13,Southampton,2810,0,50,FALSE,1,0,0,0,0,0,7,0,0
36,2016-17,Chris Smalling,DEF,9,0,2,Bournemouth,47027,0,60,FALSE,1,0,0,0,0,0,9,0,0
38,2016-17,Craig Cathcart,DEF,7,2,13,Southampton,19870,2,45,FALSE,1,0.2,16.2,4,0,0,7,1,90
39,2016-17,Craig Dawson,DEF,2,4.6,5,Crystal Palace,98602,5,50,FALSE,1,20,18,8,0,0,2,0,90
40,2016-17,Cédric Soares,DEF,7,3,18,Watford,33568,2,50,TRUE,1,3.5,12.6,14,0,0,7,1,78
41,2016-17,César Azpilicueta,DEF,10,3.4,20,West Ham,401274,5,60,TRUE,1,15.8,12,6,0,0,10,1,90
42,2016-17,Daniel Amartey,DEF,4,1.9,7,Hull,2315,1,45,FALSE,1,10.5,8,0,0,0,4,0,23
44,2016-17,Danny Rose,DEF,3,5,6,Everton,231927,2,60,FALSE,1,4.9,15,30,0,0,3,1,90
49,2016-17,DeAndre Yedlin,DEF,3,0,6,Everton,18916,0,45,FALSE,1,0,0,0,0,0,3,0,0
53,2016-17,Eric Bailly,DEF,9,2.2,2,Bournemouth,369096,2,55,FALSE,1,0.5,21.2,0,0,0,9,1,90
54,2016-17,Eric Dier,DEF,3,1.4,6,Everton,521940,1,55,FALSE,1,1,13.4,0,0,0,3,1,55
56,2016-17,Erik Pieters,DEF,6,3.8,12,Middlesbrough,185596,2,45,FALSE,1,21.3,16.6,0,0,0,6,1,90
58,2016-17,Federico Fernández,DEF,1,3.4,3,Burnley,89495,5,45,FALSE,1,0.1,26.8,7,0,0,1,0,90
59,2016-17,Fernando Luiz Rosa,DEF,5,2.5,15,Sunderland,67683,2,55,TRUE,1,6.8,18.6,0,0,0,5,1,90
61,2016-17,Gary Cahill,DEF,10,2.6,20,West Ham,188678,2,60,TRUE,1,0.7,12.8,12,0,0,10,1,90
67,2016-17,Harry Maguire,DEF,4,0,8,Leicester,491,0,45,TRUE,1,0,0,0,0,0,4,0,0
71,2016-17,Héctor Bellerín,DEF,8,2.8,9,Liverpool,950852,0,65,TRUE,1,6.8,19.6,2,0,0,8,4,90
75,2016-17,Jack Stephens,DEF,7,0,18,Watford,11659,0,40,TRUE,1,0,0,0,0,0,7,0,0
