,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
12,2016-17,Andre Gray,FWD,1,4.3,16,Swansea,410883,2,65,TRUE,1,2.3,0,42,0,0,1,1,90
14,2016-17,Andy Carroll,FWD,10,3.2,4,Chelsea,268504,2,65,FALSE,1,17,10.6,4,0,0,10,2,90
16,2016-17,Anthony Martial,FWD,9,10.4,2,Bournemouth,213574,11,95,FALSE,1,37.3,38.8,28,0,0,9,1,84
18,2016-17,Ashley Barnes,FWD,1,0,16,Swansea,3649,0,45,TRUE,1,0,0,0,0,0,1,0,0
27,2016-17,Callum Wilson,FWD,9,1.5,11,Man Utd,100715,2,65,TRUE,1,10.8,0,9,0,0,9,3,66
30,2016-17,Charlie Austin,FWD,7,1,18,Watford,60547,1,65,TRUE,1,1,0,11,0,0,7,0,8
32,2016-17,Christian Benteke,FWD,8,0,1,Arsenal,80353,0,75,FALSE,1,0,0,0,0,0,8,0,0
37,2016-17,Connor Wickham,FWD,2,1.7,19,West Brom,43933,2,60,TRUE,1,8.3,0,13,0,0,2,1,90
43,2016-17,Danny Ings,FWD,8,0,1,Arsenal,23069,0,60,FALSE,1,0,0,0,0,0,8,0,0
45,2016-17,Danny Welbeck,FWD,8,0,9,Liverpool,2706,0,75,TRUE,1,0,0,0,0,0,8,0,0
51,2016-17,Divock Origi,FWD,8,1.4,1,Arsenal,205220,1,70,FALSE,1,10.5,3.2,0,0,0,8,0,15
66,2016-17,Harry Kane,FWD,3,1.9,6,Everton,618838,2,110,FALSE,1,15.3,0,4,0,0,3,1,90
84,2016-17,Jamie Vardy,FWD,4,5.8,7,Hull,864018,2,100,FALSE,1,22.5,3.2,32,0,0,4,2,90
86,2016-17,Jay Rodriguez,FWD,7,0,18,Watford,17749,0,65,TRUE,1,0,0,0,0,0,7,0,0
99,2016-17,Joshua King,FWD,9,5,11,Man Utd,21974,2,55,TRUE,1,13.5,4.2,32,0,0,9,3,90
102,2016-17,Kelechi Iheanacho,FWD,5,3.1,15,Sunderland,62986,1,70,TRUE,1,0.3,2.4,28,0,0,5,0,11
110,2016-17,Lys Mousset,FWD,9,0,11,Man Utd,2498,0,55,TRUE,1,0,0,0,0,0,9,0,0
119,2016-17,Matej Vydra,FWD,7,0,13,Southampton,31635,0,45,FALSE,1,0,0,0,0,0,7,0,0
125,2016-17,Michail Antonio,FWD,10,0,4,Chelsea,150803,0,70,FALSE,1,0.4,0,0,0,0,10,1,51
126,2016-17,Michy Batshuayi,FWD,10,2.8,20,West Ham,81576,4,90,TRUE,1,11.3,17,0,0,0,10,0,6
136,2016-17,Odion Ighalo,FWD,7,1,13,Southampton,315735,2,75,FALSE,1,8.8,0,2,0,0,7,1,80
139,2016-17,Olivier Giroud,FWD,8,0,9,Liverpool,50997,0,90,TRUE,1,0,0,0,0,0,8,0,0
151,2016-17,Roberto Firmino,FWD,8,6,1,Arsenal,352480,2,85,FALSE,1,21,4.2,35,0,0,8,3,90
154,2016-17,Romelu Lukaku,FWD,3,0,17,Spurs,266716,0,90,TRUE,1,0,0,0,0,0,3,0,0
159,2016-17,Salomón Rondón,FWD,2,16.2,5,Crystal Palace,72960,8,65,FALSE,1,33.8,39,89,0,0,2,0,90
164,2016-17,Sergio Agüero,FWD,5,14.3,15,Sunderland,1380299,9,130,TRUE,1,29.6,32.6,81,0,0,5,1,90
166,2016-17,Shane Long,FWD,7,2.3,18,Watford,481848,2,65,TRUE,1,13.8,0,11,0,0,7,1,82
174,2016-17,Troy Deeney,FWD,7,4.8,13,Southampton,158276,5,70,FALSE,1,15.8,22,10,0,0,7,1,90
199,2016-17,Andre Gray,FWD,93,3.5,11,Man Utd,125627,1,62,FALSE,10,20,3,12,1502,3761,93,0,59
201,2016-17,Andy Carroll,FWD,92,0,6,Everton,55717,0,62,FALSE,10,0,0,0,30,1008,92,0,0
203,2016-17,Anthony Martial,FWD,93,0,3,Burnley,116498,0,93,TRUE,10,0,0,0,386,3942,93,0,0
205,2016-17,Ashley Barnes,FWD,93,2.2,11,Man Utd,7037,1,44,FALSE,10,11.3,1,10,175,305,93,0,31
206,2016-17,Ashley Fletcher,FWD,92,0,6,Everton,5606,0,50,FALSE,10,0,0,0,358,475,92,0,0
215,2016-17,Callum Wilson,FWD,94,1.3,12,Middlesbrough,206607,1,66,FALSE,10,3.3,0,10,59884,6213,94,2,59
218,2016-17,Charlie Austin,FWD,95,3.4,4,Chelsea,466390,2,66,TRUE,10,4.4,0,30,91472,15871,95,2,90
220,2016-17,Christian Benteke,FWD,91,7.5,9,Liverpool,323658,2,77,TRUE,10,5.7,8.6,61,14197,33249,91,4,90
226,2016-17,Connor Wickham,FWD,91,0,9,Liverpool,15809,0,56,TRUE,10,0,0,0,232,821,91,0,0
233,2016-17,Danny Ings,FWD,91,0,5,Crystal Palace,11883,0,55,FALSE,10,0,0,0,280,450,91,0,0
235,2016-17,Danny Welbeck,FWD,97,0,15,Sunderland,3145,0,74,FALSE,10,0,0,0,74,107,97,0,0
242,2016-17,Divock Origi,FWD,91,0.1,5,Crystal Palace,71478,1,66,FALSE,10,1.3,0,0,843,2539,91,0,2
243,2016-17,Dominic Calvert-Lewin,FWD,92,0,20,West Ham,0,0,45,TRUE,10,0,0,0,0,0,92,0,0
257,2016-17,Hal Robson-Kanu,FWD,100,0,10,Man City,6825,1,50,TRUE,10,0.3,0,0,1756,480,100,1,4
259,2016-17,Harry Kane,FWD,98,0,8,Leicester,204091,0,107,TRUE,10,0,0,0,397,6007,98,0,0
266,2016-17,Islam Slimani,FWD,98,0,17,Spurs,66349,0,85,FALSE,10,0,0,0,5234,10623,98,0,0
278,2016-17,Jamie Vardy,FWD,98,3.7,17,Spurs,407297,4,97,FALSE,10,15.1,15.4,6,1748,31502,98,1,90
281,2016-17,Jay Rodriguez,FWD,95,0,4,Chelsea,8083,0,63,TRUE,10,0,0,0,37,382,95,0,0
