,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
0,2016-17,Andre Gray,FWD,1,0.2654320987654321,16,Swansea,410883,2,65,True,1,0.06166219839142091,0.0,0.47191011235955055,0,0,1,90,0.0,0.0,0
1,2016-17,Shane Long,FWD,7,0.1419753086419753,18,Watford,481848,2,65,True,1,0.3699731903485255,0.0,0.12359550561797752,0,0,1,82,0.0,0.0,0
2,2016-17,Sergio Agüero,FWD,5,0.8827160493827161,15,Sunderland,1380299,9,130,True,1,0.7935656836461127,0.8358974358974359,0.9101123595505618,0,0,1,90,0.0,0.0,0
3,2016-17,Salomón Rondón,FWD,2,1.0,5,Crystal Palace,72960,8,65,False,1,0.906166219839142,1.0,1.0,0,0,0,90,0.0,0.0,0
4,2016-17,Romelu Lukaku,FWD,3,0.0,17,Spurs,266716,0,90,True,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0
5,2016-17,Roberto Firmino,FWD,8,0.3703703703703704,1,Arsenal,352480,2,85,False,1,0.5630026809651475,0.1076923076923077,0.39325842696629215,0,0,3,90,0.0,0.0,0
6,2016-17,Olivier Giroud,FWD,8,0.0,9,Liverpool,50997,0,90,True,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0
7,2016-17,Odion Ighalo,FWD,7,0.0617283950617284,13,Southampton,315735,2,75,False,1,0.23592493297587136,0.0,0.02247191011235955,0,0,1,80,0.0,0.0,0
8,2016-17,Michy Batshuayi,FWD,10,0.1728395061728395,20,West Ham,81576,4,90,True,1,0.3029490616621984,0.4358974358974359,0.0,0,0,0,6,0.0,0.0,0
9,2016-17,Michail Antonio,FWD,10,0.0,4,Chelsea,150803,0,70,False,1,0.010723860589812334,0.0,0.0,0,0,1,51,0.0,0.0,0
10,2016-17,Matej Vydra,FWD,7,0.0,13,Southampton,31635,0,45,False,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0
11,2016-17,Lys Mousset,FWD,9,0.0,11,Man Utd,2498,0,55,True,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0
12,2016-17,Kelechi Iheanacho,FWD,5,0.19135802469135804,15,Sunderland,62986,1,70,True,1,0.00804289544235925,0.061538461538461535,0.3146067415730337,0,0,0,11,0.0,0.0,0
13,2016-17,Joshua King,FWD,9,0.308641975308642,11,Man Utd,21974,2,55,True,1,0.36193029490616624,0.1076923076923077,0.3595505617977528,0,0,3,90,0.0,0.0,0
14,2016-17,Troy Deeney,FWD,7,0.2962962962962963,13,Southampton,158276,5,70,False,1,0.4235924932975872,0.5641025641025641,0.11235955056179775,0,0,1,90,0.0,0.0,0
15,2016-17,Jamie Vardy,FWD,4,0.35802469135802467,7,Hull,864018,2,100,False,1,0.6032171581769438,0.08205128205128205,0.3595505617977528,0,0,2,90,0.0,0.0,0
16,2016-17,Jay Rodriguez,FWD,7,0.0,18,Watford,17749,0,65,True,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0
17,2016-17,Andy Carroll,FWD,10,0.19753086419753088,4,Chelsea,268504,2,65,False,1,0.45576407506702415,0.2717948717948718,0.0449438202247191,0,0,2,90,0.0,0.0,0
18,2016-17,Anthony Martial,FWD,9,0.6419753086419754,2,Bournemouth,213574,11,95,False,1,1.0,0.9948717948717948,0.3146067415730337,0,0,1,84,0.0,0.0,0
19,2016-17,Ashley Barnes,FWD,1,0.0,16,Swansea,3649,0,45,True,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0
