,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
6,2016-17,Adrián San Miguel del Castillo,GK,10,3,4,Chelsea,94480,2,50,FALSE,1,0,29.8,0,0,0,10,2,90
8,2016-17,Alex McCarthy,GK,7,0,18,Watford,8821,0,45,TRUE,1,0,0,0,0,0,7,0,0
23,2016-17,Ben Foster,GK,2,3.4,5,Crystal Palace,173290,10,45,FALSE,1,10,23.6,0,0,0,2,0,90
47,2016-17,Darren Randolph,GK,10,0,4,Chelsea,24570,0,45,FALSE,1,0,0,0,0,0,10,0,0
48,2016-17,David de Gea,GK,9,1.7,2,Bournemouth,1392043,2,55,FALSE,1,0,17.2,0,0,0,9,1,90
52,2016-17,Eldin Jakupovic,GK,4,2.5,8,Leicester,451193,3,40,TRUE,1,0,25.2,0,0,0,4,1,90
60,2016-17,Fraser Forster,GK,7,0.2,18,Watford,171065,2,50,TRUE,1,0,2,0,0,0,7,1,90
70,2016-17,Hugo Lloris,GK,3,2.5,6,Everton,276062,2,55,FALSE,1,0,25.2,0,0,0,3,1,34
73,2016-17,Jack Butland,GK,6,0,12,Middlesbrough,172438,0,50,FALSE,1,0,0,0,0,0,6,0,0
91,2016-17,Joe Hart,GK,5,0,15,Sunderland,200797,0,55,TRUE,1,0,0,0,0,0,5,0,0
97,2016-17,Jordan Pickford,GK,5,0,10,Man City,303061,0,40,FALSE,1,0,0,0,0,0,5,0,0
101,2016-17,Kasper Schmeichel,GK,4,2.5,7,Hull,448030,2,50,FALSE,1,0,24.6,0,0,0,4,2,90
108,2016-17,Lukasz Fabianski,GK,1,1.9,3,Burnley,54385,8,50,FALSE,1,0,19.4,0,0,0,1,0,90
134,2016-17,Nick Pope,GK,1,0,16,Swansea,84427,0,40,TRUE,1,0,0,0,0,0,1,0,0
142,2016-17,Paulo Gazzaniga,GK,7,0,18,Watford,389,0,45,TRUE,1,0,0,0,0,0,7,0,0
165,2016-17,Sergio Romero,GK,9,0,2,Bournemouth,4289,0,50,FALSE,1,0,0,0,0,0,9,0,0
172,2016-17,Tom Heaton,GK,1,4.8,16,Swansea,144402,4,45,TRUE,1,0,47.8,0,0,0,1,1,90
177,2016-17,Wayne Hennessey,GK,2,1.3,19,West Brom,165753,2,45,TRUE,1,0,13.2,0,0,0,2,1,90
181,2016-17,Willy Caballero,GK,5,1.7,15,Sunderland,5495,2,50,TRUE,1,0,17.4,0,0,0,5,1,90
191,2016-17,Adrián San Miguel del Castillo,GK,92,3.6,6,Everton,114642,2,50,FALSE,10,0,36.2,0,894,2782,92,2,90
194,2016-17,Alex McCarthy,GK,95,0,4,Chelsea,7646,0,44,TRUE,10,0,0,0,15,186,95,0,0
211,2016-17,Ben Foster,GK,100,2.3,10,Man City,639782,1,47,TRUE,10,0,22.8,0,2672,17164,100,4,90
225,2016-17,Claudio Bravo,GK,100,0.9,19,West Brom,101138,6,55,FALSE,10,0,9.2,0,1793,6627,100,0,90
237,2016-17,Darren Randolph,GK,92,0,6,Everton,21472,0,44,FALSE,10,0,0,0,35,369,92,0,0
238,2016-17,David de Gea,GK,93,0.9,3,Burnley,1603246,6,55,TRUE,10,0,9.2,0,8417,33379,93,0,90
244,2016-17,Eldin Jakupovic,GK,99,0,18,Watford,846260,0,41,FALSE,10,0,0,0,2266,36476,99,0,0
252,2016-17,Fraser Forster,GK,95,3.3,4,Chelsea,183817,2,50,TRUE,10,0,32.8,0,2193,4462,95,2,90
263,2016-17,Hugo Lloris,GK,98,1.2,8,Leicester,286593,2,55,TRUE,10,0,12,0,13900,3301,98,1,90
267,2016-17,Jack Butland,GK,96,0,16,Swansea,55942,0,47,TRUE,10,0,0,0,75,2335,96,0,0
287,2016-17,Joe Hart,GK,100,0,19,West Brom,50914,0,53,FALSE,10,0,0,0,10,1079,100,0,0
293,2016-17,Jordan Pickford,GK,97,2.4,1,Arsenal,516760,1,40,TRUE,10,0,24,0,13855,4849,97,4,90
297,2016-17,Kasper Schmeichel,GK,98,1.9,17,Spurs,354979,3,50,FALSE,10,0,18.8,0,1341,8610,98,1,90
305,2016-17,Lee Grant,GK,96,3,16,Swansea,82237,3,41,TRUE,10,0,30,0,23934,840,96,1,90
306,2016-17,Lukasz Fabianski,GK,96,1.7,14,Stoke,213471,1,51,FALSE,10,0,16.8,0,1193,3322,96,3,90
335,2016-17,Nick Pope,GK,93,0,11,Man Utd,81855,0,40,FALSE,10,0,0,0,303,903,93,0,0
345,2016-17,Paulo Gazzaniga,GK,95,0,4,Chelsea,288,0,45,TRUE,10,0,0,0,3,3,95,0,0
369,2016-17,Sergio Romero,GK,93,0,3,Burnley,5029,0,48,TRUE,10,0,0,0,19,101,93,0,0
378,2016-17,Tom Heaton,GK,93,7.7,11,Man Utd,389765,11,46,FALSE,10,0,76.8,0,24992,3019,93,0,90
383,2016-17,Wayne Hennessey,GK,91,0,9,Liverpool,95155,0,44,TRUE,10,0,0,0,68,3775,91,0,0
387,2016-17,Willy Caballero,GK,100,0,19,West Brom,16224,0,49,FALSE,10,0,0,0,45,598,100,0,0
397,2016-17,Adrián San Miguel del Castillo,GK,110,1.3,14,Stoke,113169,2,50,TRUE,11,0,13.2,0,1646,3630,110,1,90
400,2016-17,Alex McCarthy,GK,105,0,7,Hull,7273,0,44,FALSE,11,0,0,0,13,390,105,0,0
417,2016-17,Ben Foster,GK,106,1,8,Leicester,618171,2,47,FALSE,11,0,9.8,0,3066,25497,106,1,90
431,2016-17,Claudio Bravo,GK,108,1.3,12,Middlesbrough,107167,2,55,TRUE,11,0,13.2,0,8593,4494,108,1,90
443,2016-17,Darren Randolph,GK,110,0,14,Stoke,21102,0,44,TRUE,11,0,0,0,58,489,110,0,0
444,2016-17,David de Gea,GK,109,0.8,16,Swansea,1587106,2,55,FALSE,11,0,7.6,0,9643,34106,109,1,90
450,2016-17,Eldin Jakupovic,GK,105,0,13,Southampton,823786,0,40,TRUE,11,0,0,0,8458,33036,105,0,0
458,2016-17,Fraser Forster,GK,105,0.2,7,Hull,185178,1,50,FALSE,11,0,1.6,0,5806,5253,105,2,90
469,2016-17,Hugo Lloris,GK,101,2.2,1,Arsenal,282884,2,55,FALSE,11,0,20.4,2,5223,12162,101,1,90
473,2016-17,Jack Butland,GK,110,0,20,West Ham,53178,0,47,FALSE,11,0,0,0,120,2960,110,0,0
493,2016-17,Joe Hart,GK,108,0,12,Middlesbrough,49787,0,53,TRUE,11,0,0,0,14,1207,108,0,0
499,2016-17,Jordan Pickford,GK,102,4.3,2,Bournemouth,534242,4,40,FALSE,11,0,42.8,0,20622,6629,102,1,90
503,2016-17,Kasper Schmeichel,GK,106,0,19,West Brom,319732,0,50,TRUE,11,0,0,0,3402,39524,106,0,0
511,2016-17,Lee Grant,GK,110,1.5,20,West Ham,94293,2,41,FALSE,11,0,15,0,12964,2273,110,1,90
512,2016-17,Lukasz Fabianski,GK,109,0,11,Man Utd,205210,1,50,TRUE,11,0,0,0,873,9625,109,3,90
541,2016-17,Nick Pope,GK,103,0,5,Crystal Palace,81208,0,40,TRUE,11,0,0,0,538,1328,103,0,0
551,2016-17,Paulo Gazzaniga,GK,105,0,7,Hull,284,0,45,FALSE,11,0,0,0,2,7,105,0,0
575,2016-17,Sergio Romero,GK,109,0,16,Swansea,5025,0,48,FALSE,11,0,0,0,30,113,109,0,0
584,2016-17,Tom Heaton,GK,103,2.7,5,Crystal Palace,534285,2,47,TRUE,11,0,26.6,0,134429,2178,103,2,90
589,2016-17,Wayne Hennessey,GK,103,0,3,Burnley,90841,0,43,FALSE,11,0,0,0,163,4590,103,0,0
593,2016-17,Willy Caballero,GK,108,0,12,Middlesbrough,15801,0,48,TRUE,11,0,0,0,123,636,108,0,0
603,2016-17,Adrián San Miguel del Castillo,GK,118,0,17,Spurs,110285,0,50,FALSE,12,0,0,0,986,4490,118,0,0
606,2016-17,Alex McCarthy,GK,115,0,9,Liverpool,7004,0,44,TRUE,12,0,0,0,17,291,115,0,0
623,2016-17,Ben Foster,GK,120,1.3,3,Burnley,613158,6,47,TRUE,12,0,13,0,6959,13155,120,0,90
637,2016-17,Claudio Bravo,GK,111,1,5,Crystal Palace,103621,2,55,FALSE,12,0,10,0,2633,7542,111,1,90
649,2016-17,Darren Randolph,GK,118,1.8,17,Spurs,20871,2,44,FALSE,12,0,17.8,0,69,353,118,3,90
650,2016-17,David de Gea,GK,113,0.3,1,Arsenal,1552387,2,55,TRUE,12,0,3,0,5068,49480,113,1,90
656,2016-17,Eldin Jakupovic,GK,117,0,15,Sunderland,817273,0,40,FALSE,12,0,0,0,9471,19559,117,0,0
664,2016-17,Fraser Forster,GK,115,2.6,9,Liverpool,173322,6,50,TRUE,12,0,25.8,0,982,13196,115,0,90
675,2016-17,Hugo Lloris,GK,118,1.3,20,West Ham,287730,1,55,TRUE,12,0,12.8,0,9325,8449,118,2,90
679,2016-17,Jack Butland,GK,116,0,2,Bournemouth,51114,0,47,TRUE,12,0,0,0,218,2480,116,0,0
699,2016-17,Joe Hart,GK,111,0,5,Crystal Palace,48891,0,53,FALSE,12,0,0,0,22,1032,111,0,0
705,2016-17,Jordan Pickford,GK,117,3.9,7,Hull,563483,7,41,TRUE,12,0,39,0,28038,3379,117,0,90
709,2016-17,Kasper Schmeichel,GK,119,0,18,Watford,288352,0,50,FALSE,12,0,0,0,131,31819,119,0,0
717,2016-17,Lee Grant,GK,116,1.1,2,Bournemouth,110326,2,41,TRUE,12,0,10.6,0,16068,2025,116,1,90
718,2016-17,Lukasz Fabianski,GK,112,3.7,6,Everton,197994,4,50,FALSE,12,0,37.4,0,754,8498,112,1,90
747,2016-17,Nick Pope,GK,120,0,19,West Brom,80929,0,40,FALSE,12,0,0,0,589,1065,120,0,0
757,2016-17,Paulo Gazzaniga,GK,115,0,9,Liverpool,287,0,45,TRUE,12,0,0,0,4,6,115,0,0
781,2016-17,Sergio Romero,GK,113,0,1,Arsenal,5108,0,48,TRUE,12,0,0,0,39,114,113,0,0
790,2016-17,Tom Heaton,GK,120,0.7,19,West Brom,617730,0,48,FALSE,12,0,7.4,0,75223,5907,120,4,90
795,2016-17,Wayne Hennessey,GK,111,1.1,10,Man City,87907,1,43,TRUE,12,0,11,0,350,3517,111,2,90
799,2016-17,Willy Caballero,GK,111,0,5,Crystal Palace,15579,0,48,FALSE,12,0,0,0,91,458,111,0,0
809,2016-17,Adrián San Miguel del Castillo,GK,127,0,11,Man Utd,105155,0,49,FALSE,13,0,0,0,211,5488,127,0,0
812,2016-17,Alex McCarthy,GK,128,0,6,Everton,6886,0,44,TRUE,13,0,0,0,11,135,128,0,0
829,2016-17,Ben Foster,GK,124,1.5,7,Hull,631222,3,47,FALSE,13,0,14.6,0,22377,5615,124,1,90
844,2016-17,Claudio Bravo,GK,122,3.1,3,Burnley,103266,3,55,FALSE,13,0,31.4,0,2379,3567,122,1,90
856,2016-17,Darren Randolph,GK,127,5.1,11,Man Utd,20877,4,44,FALSE,13,0,51,0,140,178,127,1,90
857,2016-17,David de Gea,GK,127,1.1,20,West Ham,1538844,2,55,TRUE,13,0,11.2,0,5392,22946,127,1,90
863,2016-17,Eldin Jakupovic,GK,124,0,19,West Brom,803325,0,40,TRUE,13,0,0,0,4616,20106,124,0,0
871,2016-17,Fraser Forster,GK,128,0.5,6,Everton,178386,6,50,TRUE,13,0,5.2,0,6259,1954,128,0,90
882,2016-17,Hugo Lloris,GK,123,1.2,4,Chelsea,279902,2,55,FALSE,13,0,11.6,0,1707,10803,123,2,90
886,2016-17,Jack Butland,GK,130,0,18,Watford,50188,0,47,FALSE,13,0,0,0,155,1176,130,0,0
906,2016-17,Joe Hart,GK,122,0,3,Burnley,48476,0,53,FALSE,13,0,0,0,17,488,122,0,0
912,2016-17,Jordan Pickford,GK,126,3,9,Liverpool,589639,2,41,FALSE,13,0,30,0,26256,2576,126,2,90
916,2016-17,Kasper Schmeichel,GK,125,0,12,Middlesbrough,273528,0,49,TRUE,13,0,0,0,63,15051,125,0,0
924,2016-17,Lee Grant,GK,130,1,18,Watford,116034,7,41,FALSE,13,0,9.6,0,7396,2266,130,0,90
925,2016-17,Lukasz Fabianski,GK,129,0.6,5,Crystal Palace,197331,0,50,TRUE,13,0,5.8,0,2135,3194,129,4,90
954,2016-17,Nick Pope,GK,122,0,10,Man City,80574,0,40,TRUE,13,0,0,0,254,699,122,0,0
964,2016-17,Paulo Gazzaniga,GK,128,0,6,Everton,288,0,45,TRUE,13,0,0,0,3,4,128,0,0
988,2016-17,Sergio Romero,GK,127,0,20,West Ham,5121,0,48,TRUE,13,0,0,0,25,72,127,0,0
997,2016-17,Tom Heaton,GK,122,0,10,Man City,637451,0,48,TRUE,13,0,0,0,27249,12756,122,0,0
1002,2016-17,Wayne Hennessey,GK,129,2.2,16,Swansea,87273,0,43,FALSE,13,0,22.4,0,631,1401,129,5,90
1006,2016-17,Willy Caballero,GK,122,0,3,Burnley,15405,0,48,FALSE,13,0,0,0,44,273,122,0,0
1016,2016-17,Adrián San Miguel del Castillo,GK,140,0,1,Arsenal,100845,0,49,TRUE,14,0,0,0,442,4988,140,0,0
1019,2016-17,Alex McCarthy,GK,132,0,5,Crystal Palace,6733,0,44,FALSE,14,0,0,0,15,171,132,0,0
1036,2016-17,Ben Foster,GK,139,3.3,18,Watford,660058,3,47,TRUE,14,0,33.4,0,32436,5692,139,1,90
1051,2016-17,Claudio Bravo,GK,134,0.9,4,Chelsea,98870,1,55,TRUE,14,0,9.4,0,1374,6576,134,3,90
1063,2016-17,Darren Randolph,GK,140,3.7,1,Arsenal,22561,1,44,TRUE,14,0,37,0,1677,237,140,5,90
1064,2016-17,David de Gea,GK,133,3.7,6,Everton,1520146,2,54,FALSE,14,0,37,0,4820,27629,133,1,90
1070,2016-17,Eldin Jakupovic,GK,135,0,12,Middlesbrough,785247,0,40,FALSE,14,0,0,0,4864,24533,135,0,0
