,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
0,2016-17,Adrián San Miguel del Castillo,GK,10,0.625,4,Chelsea,94480,2,50,False,1,0.0,0.6234309623430963,,0,0,2,90,0.0,0.0,0
1,2016-17,Wayne Hennessey,GK,2,0.27083333333333337,19,West Brom,165753,2,45,True,1,0.0,0.27615062761506276,,0,0,1,90,0.0,0.0,0
2,2016-17,Tom Heaton,GK,1,1.0,16,Swansea,144402,4,45,True,1,0.0,1.0,,0,0,1,90,0.0,0.0,0
3,2016-17,Sergio Romero,GK,9,0.0,2,Bournemouth,4289,0,50,False,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
4,2016-17,Paulo Gazzaniga,GK,7,0.0,18,Watford,389,0,45,True,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
5,2016-17,Nick Pope,GK,1,0.0,16,Swansea,84427,0,40,True,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
6,2016-17,Lukasz Fabianski,GK,1,0.3958333333333333,3,Burnley,54385,8,50,False,1,0.0,0.40585774058577406,,0,0,0,90,0.0,0.0,0
7,2016-17,Kasper Schmeichel,GK,4,0.5208333333333334,7,Hull,448030,2,50,False,1,0.0,0.5146443514644352,,0,0,2,90,0.0,0.0,0
8,2016-17,Jordan Pickford,GK,5,0.0,10,Man City,303061,0,40,False,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
9,2016-17,Willy Caballero,GK,5,0.3541666666666667,15,Sunderland,5495,2,50,True,1,0.0,0.36401673640167365,,0,0,1,90,0.0,0.0,0
10,2016-17,Jack Butland,GK,6,0.0,12,Middlesbrough,172438,0,50,False,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
11,2016-17,Hugo Lloris,GK,3,0.5208333333333334,6,Everton,276062,2,55,False,1,0.0,0.5271966527196653,,0,0,1,34,0.0,0.0,0
12,2016-17,Fraser Forster,GK,7,0.04166666666666667,18,Watford,171065,2,50,True,1,0.0,0.041841004184100423,,0,0,1,90,0.0,0.0,0
13,2016-17,Eldin Jakupovic,GK,4,0.5208333333333334,8,Leicester,451193,3,40,True,1,0.0,0.5271966527196653,,0,0,1,90,0.0,0.0,0
14,2016-17,David de Gea,GK,9,0.3541666666666667,2,Bournemouth,1392043,2,55,False,1,0.0,0.3598326359832636,,0,0,1,90,0.0,0.0,0
15,2016-17,Darren Randolph,GK,10,0.0,4,Chelsea,24570,0,45,False,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
16,2016-17,Ben Foster,GK,2,0.7083333333333334,5,Crystal Palace,173290,10,45,False,1,1.0,0.493723849372385,,0,0,0,90,0.0,0.0,0
17,2016-17,Alex McCarthy,GK,7,0.0,18,Watford,8821,0,45,True,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
18,2016-17,Joe Hart,GK,5,0.0,15,Sunderland,200797,0,55,True,1,0.0,0.0,,0,0,0,0,0.0,0.0,0
19,2016-17,Lukasz Fabianski,GK,15,0.45,7,Hull,122946,1,50,True,2,,0.4591836734693877,0.0,26997,2954,2,90,0.0,8.0,92
20,2016-17,Nick Pope,GK,12,0.0,9,Liverpool,88638,0,40,True,2,,0.0,0.0,1257,2834,0,0,0.0,0.0,0
21,2016-17,Wayne Hennessey,GK,16,0.775,17,Spurs,164916,3,45,False,2,,0.7908163265306122,0.0,2119,8486,1,90,1.0,2.0,91
22,2016-17,Sergio Romero,GK,11,0.0,13,Southampton,4834,0,50,True,2,,0.0,0.0,82,523,0,0,0.0,0.0,0
23,2016-17,Tom Heaton,GK,12,0.65,9,Liverpool,154198,10,45,True,2,,0.6530612244897959,0.0,5201,4734,0,90,1.0,4.0,90
24,2016-17,Kasper Schmeichel,GK,13,0.65,1,Arsenal,463473,8,50,True,2,,0.6734693877551019,0.0,6371,29401,0,90,2.0,2.0,90
25,2016-17,Paulo Gazzaniga,GK,11,0.0,11,Man Utd,367,0,45,False,2,,0.0,0.0,5,53,0,0,0.0,0.0,0
26,2016-17,Jordan Pickford,GK,19,0.0,12,Middlesbrough,302296,0,40,True,2,,0.0,0.0,1598,10133,0,0,0.0,0.0,0
27,2016-17,Fraser Forster,GK,11,0.425,11,Man Utd,181020,2,50,False,2,,0.4438775510204081,0.0,5169,8863,2,90,1.0,2.0,92
28,2016-17,Jack Butland,GK,14,0.0,10,Man City,139095,0,49,True,2,,0.0,0.0,591,37220,0,0,0.0,0.0,0
29,2016-17,Hugo Lloris,GK,16,0.0,5,Crystal Palace,209391,0,55,True,2,,0.0,0.0,1327,78445,0,0,2.6470588235294117,2.0,34
30,2016-17,Eldin Jakupovic,GK,15,0.375,16,Swansea,560174,7,40,False,2,,0.3724489795918367,0.0,42910,5782,0,90,1.0,3.0,90
31,2016-17,David de Gea,GK,11,0.2,13,Southampton,1599510,6,55,True,2,,0.21428571428571427,0.0,48379,27572,0,90,1.0,2.0,90
32,2016-17,Darren Randolph,GK,20,0.0,2,Bournemouth,25680,0,45,True,2,,0.0,0.0,260,1315,0,0,0.0,0.0,0
33,2016-17,Ben Foster,GK,18,1.0,6,Everton,395142,2,46,True,2,,1.0,1.0,109211,6357,2,90,0.0,10.0,92
34,2016-17,Willy Caballero,GK,14,0.45,14,Stoke,21605,2,50,False,2,,0.4489795918367347,0.0,9386,1153,1,90,1.0,2.0,91
35,2016-17,Joe Hart,GK,14,0.0,14,Stoke,151164,0,54,False,2,,0.0,0.0,1163,60968,0,0,0.0,0.0,0
36,2016-17,Alex McCarthy,GK,11,0.0,11,Man Utd,9011,0,45,False,2,,0.0,0.0,71,660,0,0,0.0,0.0,0
37,2016-17,Adrián San Miguel del Castillo,GK,20,0.725,2,Bournemouth,112337,9,50,True,2,,0.7295918367346939,0.0,9312,3233,0,90,2.0,2.0,90
38,2016-17,Nick Pope,GK,21,0.0,4,Chelsea,88650,0,40,False,3,,0.0,,2072,4191,0,0,0.0,0.0,0
39,2016-17,Willy Caballero,GK,29,0.24528301886792456,20,West Ham,29321,2,50,True,3,,0.23954372623574144,,7140,3717,1,90,1.0,2.0,181
40,2016-17,Wayne Hennessey,GK,22,0.0,2,Bournemouth,161432,0,45,True,3,,0.0,,8124,14270,0,0,1.0,2.5,180
41,2016-17,Tom Heaton,GK,21,0.8679245283018867,4,Chelsea,247112,3,45,False,3,,0.8669201520912547,,68412,9884,3,90,0.5,7.0,183
42,2016-17,Sergio Romero,GK,24,0.0,7,Hull,4806,0,49,False,3,,0.0,,91,581,0,0,0.0,0.0,0
43,2016-17,Paulo Gazzaniga,GK,26,0.0,15,Sunderland,342,0,45,True,3,,0.0,,8,45,0,0,0.0,0.0,0
44,2016-17,Lukasz Fabianski,GK,25,0.8490566037735849,8,Leicester,121436,10,50,False,3,,0.8631178707224334,,3460,10852,2,90,1.0,4.5,182
