,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
1,2016-17,Aaron Lennon,MID,3,0.9,17,Spurs,13918,1,60,TRUE,1,0.3,8.2,0,0,0,3,0,15
2,2016-17,Aaron Ramsey,MID,8,3,9,Liverpool,163170,2,80,TRUE,1,4.9,2.2,23,0,0,8,3,60
3,2016-17,Abdoulaye Doucouré,MID,7,0,13,Southampton,1051,0,50,FALSE,1,0,0,0,0,0,7,0,0
4,2016-17,Adam Forshaw,MID,6,0.3,14,Stoke,2723,1,45,TRUE,1,1.3,2,0,0,0,6,1,69
5,2016-17,Adam Lallana,MID,8,14.2,1,Arsenal,155525,11,70,FALSE,1,33.7,51.2,57,0,0,8,3,75
7,2016-17,Alex Iwobi,MID,8,3.4,9,Liverpool,48146,3,60,TRUE,1,17.5,16.6,0,0,0,8,3,58
9,2016-17,Alex Oxlade-Chamberlain,MID,8,6.5,9,Liverpool,41083,6,60,TRUE,1,6.5,39.4,19,0,0,8,1,32
10,2016-17,Andreas Pereira,MID,9,0,2,Bournemouth,2632,0,45,FALSE,1,0,0,0,0,0,9,0,0
13,2016-17,Andros Townsend,MID,2,10.2,19,West Brom,223526,2,65,TRUE,1,32.8,23.2,46,0,0,2,1,90
20,2016-17,Bamidele Alli,MID,3,3,6,Everton,415753,2,85,FALSE,1,16.9,2.2,11,0,0,3,1,90
31,2016-17,Cheikhou Kouyaté,MID,10,3.3,4,Chelsea,90912,2,55,FALSE,1,12.5,18.6,2,0,0,10,2,90
33,2016-17,Christian Eriksen,MID,3,6.3,6,Everton,401003,2,85,FALSE,1,32.5,14.2,16,0,0,3,1,90
46,2016-17,Dan Gosling,MID,9,0,11,Man Utd,8026,0,50,TRUE,1,0,0,0,0,0,9,0,0
50,2016-17,Demarai Gray,MID,4,2.2,7,Hull,19681,5,50,FALSE,1,2.9,1.6,17,0,0,4,2,67
55,2016-17,Erik Lamela,MID,3,8.7,6,Everton,279629,9,70,FALSE,1,9.4,39.6,38,0,0,3,1,90
57,2016-17,Fabian Delph,MID,5,0.5,15,Sunderland,6568,1,50,TRUE,1,3.1,0,2,0,0,5,1,27
62,2016-17,Georginio Wijnaldum,MID,8,5.6,1,Arsenal,140125,5,80,FALSE,1,24.1,22.4,9,0,0,8,3,87
63,2016-17,Granit Xhaka,MID,8,0.2,9,Liverpool,226601,0,55,TRUE,1,4.8,0,0,0,0,8,0,24
64,2016-17,Gylfi Sigurdsson,MID,1,2.1,3,Burnley,283252,1,75,FALSE,1,5.6,8.4,7,0,0,1,0,31
65,2016-17,Harrison Reed,MID,7,0,18,Watford,1998,0,45,TRUE,1,0,0,0,0,0,7,0,0
68,2016-17,Harry Winks,MID,3,0,6,Everton,0,0,45,FALSE,1,0,0,0,0,0,3,0,0
69,2016-17,Heung-Min Son,MID,3,0,6,Everton,1534,0,75,FALSE,1,0,0,0,0,0,3,0,0
72,2016-17,Ilkay Gündogan,MID,5,0,15,Sunderland,21411,0,55,TRUE,1,0,0,0,0,0,5,0,0
74,2016-17,Jack Cork,MID,1,5.8,3,Burnley,4204,3,50,FALSE,1,33.4,17,8,0,0,1,0,90
76,2016-17,Jack Wilshere,MID,8,0,9,Liverpool,5677,0,60,TRUE,1,0,0,0,0,0,8,0,0
77,2016-17,Jake Livermore,MID,4,2.5,8,Leicester,4169,2,50,TRUE,1,0,25.4,0,0,0,4,1,90
78,2016-17,James McArthur,MID,2,0,19,West Brom,979,0,50,TRUE,1,0,0,0,0,0,2,0,0
79,2016-17,James McCarthy,MID,3,2.4,17,Spurs,11237,2,50,TRUE,1,2.1,21.4,0,0,0,3,1,90
